CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,CITY,DISTRICT,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Ağrı,Hamur,Agri,Hamur,Agri,Hamur,1379,1379,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Merkez,Agri,Merkez,Agri,Merkez,1111,1111,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Patnos,Agri,Patnos,Agri,Patnos,1568,1568,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Taşlıçay,Agri,Taslicay,Agri,Taslicay,1667,1667,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Tutak,Agri,Tutak,Agri,Tutak,1691,1691,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Aksaray,Ağaçören,Aksaray,Agacoren,Aksaray,Agacoren,1860,1860,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Eskil,Aksaray,Eskil,Aksaray,Eskil,1921,1921,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Gülağaç,Aksaray,Gulagac,Aksaray,Gulagac,1932,1932,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Güzelyurt,Aksaray,Guzelyurt,Aksaray,Guzelyurt,1861,1861,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Merkez,Aksaray,Merkez,Aksaray,Merkez,1120,1120,1,,,,3,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Ortaköy,Aksaray,Ortakoy,Aksaray,Ortakoy,1557,1557,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Sarıyahşi,Aksaray,Sariyahsi,Aksaray,Sariyahsi,1866,1866,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Sultanhanı,Aksaray,Sultanhani,Aksaray,Merkez,1120,2106,1,,08/25/17,Merkez,3,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Amasya,Göynücek,Amasya,Goynucek,Amasya,Goynucek,1363,1363,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Gümüşhacıköy,Amasya,Gumushacikoy,Amasya,Gumushacikoy,1368,1368,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Hamamözü,Amasya,Hamamozu,Amasya,Hamamozu,1938,1938,1,,05/20/90,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Merkez,Amasya,Merkez,Amasya,Merkez,1134,1134,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Merzifon,Amasya,Merzifon,Amasya,Merzifon,1524,1524,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Suluova,Amasya,Suluova,Amasya,Suluova,1641,1641,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Taşova,Amasya,Tasova,Amasya,Tasova,1668,1668,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Ankara,Akyurt,Ankara,Akyurt,Ankara,Akyurt,1872,1872,1,,05/20/90,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Altındağ,Ankara,Altindag,Ankara,Altindag,1130,1130,1,,,,4,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Ayaş,Ankara,Ayas,Ankara,Ayas,1157,1157,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Bala,Ankara,Bala,Ankara,Bala,1167,1167,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Beypazarı,Ankara,Beypazari,Ankara,Beypazari,1187,1187,1,,,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çamlıdere,Ankara,Camlidere,Ankara,Camlidere,1227,1227,1,,,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çankaya,Ankara,Cankaya,Ankara,Cankaya,1231,1231,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çubuk,Ankara,Cubuk,Ankara,Cubuk,1260,1260,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Elmadağ,Ankara,Elmadag,Ankara,Elmadag,1302,1302,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Etimesgut,Ankara,Etimesgut,Ankara,Etimesgut,1922,1922,1,,05/20/90,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Evren,Ankara,Evren,Ankara,Evren,1924,1924,1,,05/20/90,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Gölbaşı,Ankara,Golbasi,Ankara,Golbasi,1744,1744,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Güdül,Ankara,Gudul,Ankara,Gudul,1365,1365,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Haymana,Ankara,Haymana,Ankara,Haymana,1387,1387,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kazan,Ankara,Kazan,Ankara,Kazan,1815,1815,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kalecik,Ankara,Kalecik,Ankara,Kalecik,1427,1427,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Keçiören,Ankara,Kecioren,Ankara,Kecioren,1745,1745,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kızılcahamam,Ankara,Kizilcahamam,Ankara,Kizilcahamam,1473,1473,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Mamak,Ankara,Mamak,Ankara,Mamak,1746,1746,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Nallıhan,Ankara,Nallihan,Ankara,Nallihan,1539,1539,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Polatlı,Ankara,Polatli,Ankara,Polatli,1578,1578,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Pursaklar,Ankara,Pursaklar,Ankara,Altindag,1130,2034,1,,03/22/08,"Altındağ, Çubuk",4,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Şereflikoçhisar,Ankara,Sereflikochisar,Ankara,Sereflikochisar,1658,1658,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Sincan,Ankara,Sincan,Ankara,Sincan,1747,1747,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Yenimahalle,Ankara,Yenimahalle,Ankara,Yenimahalle,1723,1723,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Antalya,Akseki,Antalya,Akseki,Antalya,Akseki,1121,1121,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Aksu,Antalya,Aksu,Antalya,Merkez,1138,2035,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Alanya,Antalya,Alanya,Antalya,Alanya,1126,1126,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Demre,Antalya,Demre,Antalya,Demre,1811,1811,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Döşemealtı,Antalya,Dosemealti,Antalya,Merkez,1138,2036,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Elmalı,Antalya,Elmali,Antalya,Elmali,1303,1303,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Finike,Antalya,Finike,Antalya,Finike,1333,1333,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Gazipaşa,Antalya,Gazipasa,Antalya,Gazipasa,1337,1337,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Gündoğmuş,Antalya,Gundogmus,Antalya,Gundogmus,1370,1370,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,İbradı,Antalya,Ibradi,Antalya,Ibradi,1946,1946,1,,05/20/90,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kaş,Antalya,Kas,Antalya,Kas,1451,1451,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kemer,Antalya,Kemer,Antalya,Kemer,1959,1959,1,,05/20/90,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kepez,Antalya,Kepez,Antalya,Merkez,1138,2037,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Konyaaltı,Antalya,Konyaalti,Antalya,Merkez,1138,2038,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Korkuteli,Antalya,Korkuteli,Antalya,Korkuteli,1483,1483,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kumluca,Antalya,Kumluca,Antalya,Kumluca,1492,1492,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Manavgat,Antalya,Manavgat,Antalya,Manavgat,1512,1512,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Merkez,Antalya,Merkez,Antalya,Merkez,1138,1138,0,,,,5,1,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Muratpaşa,Antalya,Muratpasa,Antalya,Merkez,1138,2039,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Serik,Antalya,Serik,Antalya,Serik,1616,1616,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Ardahan,Çıldır,Ardahan,Cildir,Ardahan,Cildir,1252,1252,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Damal,Ardahan,Damal,Ardahan,Damal,2008,2008,1,06/03/92,06/03/92,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Göle,Ardahan,Gole,Ardahan,Gole,1356,1356,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Hanak,Ardahan,Hanak,Ardahan,Hanak,1380,1380,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Merkez,Ardahan,Merkez,Ardahan,Merkez,1144,1144,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Posof,Ardahan,Posof,Ardahan,Posof,1579,1579,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Artvin,Ardanuç,Artvin,Ardanuc,Artvin,Ardanuc,1145,1145,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Arhavi,Artvin,Arhavi,Artvin,Arhavi,1147,1147,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Borçka,Artvin,Borcka,Artvin,Borcka,1202,1202,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Hopa,Artvin,Hopa,Artvin,Hopa,1395,1395,1,,,,6,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Kemalpaşa,Artvin,Kemalpasa,Artvin,Hope,1395,2105,1,,08/25/17,Hopa,6,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Merkez,Artvin,Merkez,Artvin,Merkez,1152,1152,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Murgul,Artvin,Murgul,Artvin,Murgul,1828,1828,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Şavşat,Artvin,Savsat,Artvin,Savsat,1653,1653,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Yusufeli,Artvin,Yusufeli,Artvin,Yusufeli,1736,1736,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Aydın,Bozdoğan,Aydin,Bozdogan,Aydin,Bozdogan,1206,1206,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Buharkent,Aydin,Buharkent,Aydin,Buharkent,1781,1781,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Çine,Aydin,Cine,Aydin,Cine,1256,1256,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Didim,Aydin,Didim,Aydin,Didim,2000,2000,1,,04/09/97,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Efeler,Aydin,Efeler,Aydin,Merkez,1159,2076,1,,12/06/12,Merkez,7,0,1,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Germencik,Aydin,Germencik,Aydin,Germencik,1348,1348,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,İncirliova,Aydin,Incirliova,Aydin,Incirliova,1807,1807,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Karacasu,Aydin,Karacasu,Aydin,Karacasu,1435,1435,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Karpuzlu,Aydin,Karpuzlu,Aydin,Karpuzlu,1957,1957,1,,05/20/90,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Koçarlı,Aydin,Kocarli,Aydin,Kocarli,1479,1479,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Köşk,Aydin,Kosk,Aydin,Kosk,1968,1968,1,,05/20/90,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Kuşadası,Aydin,Kusadasi,Aydin,Kusadasi,1497,1497,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Kuyucak,Aydin,Kuyucak,Aydin,Kuyucak,1498,1498,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Merkez,Aydin,Merkez,Aydin,Merkez,1159,1159,0,,,,7,1,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Nazilli,Aydin,Nazilli,Aydin,Nazilli,1542,1542,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Söke,Aydin,Soke,Aydin,Soke,1637,1637,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Sultanhisar,Aydin,Sultanhisar,Aydin,Sultanhisar,1640,1640,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Yenipazar,Aydin,Yenipazar,Aydin,Yenipazar,1724,1724,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Balıkesir,Altıeylül,Balikesir,Altieylul,Balikesir,Merkez,1168,2077,1,,12/06/12,Merkez,8,0,1,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Ayvalık,Balikesir,Ayvalik,Balikesir,Ayvalik,1161,1161,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Balya,Balikesir,Balya,Balikesir,Balya,1169,1169,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Bandırma,Balikesir,Bandirma,Balikesir,Bandirma,1171,1171,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Bigadiç,Balikesir,Bigadic,Balikesir,Bigadic,1191,1191,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Burhaniye,Balikesir,Burhaniye,Balikesir,Burhaniye,1216,1216,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Dursunbey,Balikesir,Dursunbey,Balikesir,Dursunbey,1291,1291,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
